Size of Array,Sorted Array Elapsed Time,Randomised Array Elapsed Time,Anti-Sorted Array Elapsed Time
398,91153,103057,68618
399,96467,91279,85674
400,165762,119555,152389
401,82844,120162,97164
402,119420,101340,100830
403,117557,68764,85094
404,120244,83193,99908
405,104676,94605,63961
406,108873,111494,89761
407,127334,93678,95220
408,101247,105275,129164
409,68102,129600,88681
410,93951,100325,115158
411,109557,106628,61818
412,55019,104771,109275
413,114926,115850,96273
414,100149,135317,100469
415,108632,99127,100160
416,63721,107597,103954
417,100997,100872,123655
418,114214,109123,111520
419,75299,109182,133033
420,107371,92376,81000
421,133115,99691,67399
422,129196,107804,116015
423,122996,124431,108349
424,107541,64703,139247
425,99197,111501,103743
426,117228,112017,117246
427,123372,128123,122061
428,92651,91931,134978
429,118499,122511,126673
430,121731,97485,124220
431,122105,153371,132336
432,121058,117661,101645
433,129696,96985,112839
434,118472,119885,115184
435,125299,147580,116822
436,114560,109439,102475
437,128137,129751,99849
438,122616,91555,97441
439,81581,106925,122272
440,112668,95991,97227
441,113994,117021,117109
442,117424,124477,117423
443,109533,130715,123717
444,135890,135576,80939
445,107002,141191,102538
446,158820,121958,132612
447,129746,116746,133316
448,131887,117580,148364
449,132530,126473,124235
450,150858,144116,121356
451,120399,117061,120656
452,119721,128610,114396
453,123057,133155,100153
454,130494,124578,128021
455,93625,110343,125023
456,116876,123275,130805
457,99070,135854,94732
458,120501,123902,107152
459,139887,139430,150888
460,156334,115423,114032
461,140567,123850,140975
462,137979,109583,132725
463,135558,131648,141038
464,120217,134925,131921
465,118716,143248,126881
466,157167,119974,146348
467,153298,164128,130323
468,146148,130465,149535
469,149829,136498,114774
470,136428,147183,105838
471,146458,150307,134350
472,141131,123325,211838
473,158679,161011,137821
474,103381,142911,169452
475,108122,134413,126864
476,113868,138785,143811
477,112674,139160,145515
478,162019,126707,149495
479,126173,105332,141312
480,127417,126668,157778
481,125332,141369,173920
482,138470,119339,142238
483,151110,162499,153093
484,107756,139428,160413
485,155912,151042,156607
486,141440,130974,121840
487,148122,142503,112891
488,130169,134817,168415
489,157463,159796,137516
490,165393,152589,193229
491,176755,184261,107417
492,145911,147289,157403
493,153883,149274,159344
494,169549,156364,136805
495,163617,145522,148115
496,172009,125119,163810
497,169457,122170,198455
498,165343,137660,129556
499,143960,136474,128568
500,137466,145404,176918
501,140753,153193,157247
502,141873,138205,168271
